ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13706565,JH559452,12/29/2024 05:00:00 PM,024XX N CANNON DR,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,1935,019,43,7,06,1174543,1916591,2024,05/17/2025 03:40:52 PM,41.926523588,-87.634050522,POINT (-87.634050522 41.926523588)
13707549,JH561391,12/29/2024 05:00:00 PM,012XX W WASHINGTON BLVD,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1224,012,27,28,06,1168146,1900665,2024,05/17/2025 03:40:52 PM,41.882962394,-87.658017116,POINT (-87.658017116 41.882962394)
13707108,JH560784,12/29/2024 04:30:00 PM,062XX S LANGLEY AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0313,003,20,42,05,1181965,1863874,2024,05/17/2025 03:40:52 PM,41.781695764,-87.608413831,POINT (-87.608413831 41.781695764)
13706270,JH559850,12/29/2024 04:00:00 PM,069XX N WAYNE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,2431,024,49,1,05,1165889,1945904,2024,05/17/2025 03:40:52 PM,42.007148817,-87.665009645,POINT (-87.665009645 42.007148817)
13709402,JJ101847,12/29/2024 01:00:00 PM,014XX N CICERO AVE,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,false,false,2533,025,37,25,05,1144116,1909045,2024,05/17/2025 03:40:52 PM,41.906443068,-87.746046383,POINT (-87.746046383 41.906443068)
13705871,JH559170,12/29/2024 12:50:00 PM,011XX S CALIFORNIA AVE,0650,BURGLARY,HOME INVASION,APARTMENT,false,false,1135,011,28,29,05,1157862,1895014,2024,05/17/2025 03:40:52 PM,41.867671357,-87.695934543,POINT (-87.695934543 41.867671357)
13705919,JH559174,12/29/2024 12:30:00 PM,041XX S ARCHER AVE,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,false,false,0921,009,12,58,05,1157143,1876639,2024,05/17/2025 03:40:52 PM,41.817262858,-87.699072292,POINT (-87.699072292 41.817262858)
13706578,JH559511,12/29/2024 11:00:00 AM,020XX N KOLMAR AVE,0610,BURGLARY,FORCIBLE ENTRY,WAREHOUSE,false,false,2522,025,26,20,05,1145723,1913272,2024,05/17/2025 03:40:52 PM,41.918012049,-87.74003577,POINT (-87.74003577 41.918012049)
13705485,JH558972,12/29/2024 10:20:00 AM,021XX W CHARLESTON ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,1432,014,32,22,06,1161799,1914104,2024,05/17/2025 03:40:52 PM,41.91997474,-87.680948266,POINT (-87.680948266 41.91997474)
13706710,JH560383,12/29/2024 09:30:00 AM,092XX S CONSTANCE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0413,004,8,48,05,1190126,1844123,2024,05/17/2025 03:40:52 PM,41.727304595,-87.57912887,POINT (-87.57912887 41.727304595)
