USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
IL	17029000701	12383351	340924	4.781	0.132	39.4829783	-88.1305761                                                                                                                                       
IL	17029000702	1293469	0	0.499	0.	39.4869942	-88.1792627                                                                                                                                                
IL	17029000800	1930288	0	0.745	0.	39.4771432	-88.176185                                                                                                                                                 
IL	17029000900	14003325	1427927	5.407	0.551	39.4708336	-88.1892241                                                                                                                                      
IL	17029001000	7434163	0	2.87	0.	39.4739163	-88.3442379                                                                                                                                                 
IL	17029001100	4686332	0	1.809	0.	39.4675764	-88.3746436                                                                                                                                                
IL	17029001200	7829719	0	3.023	0.	39.4703633	-88.3971609                                                                                                                                                
IL	17031010100	379511	0	0.147	0.	42.0212553	-87.6698301                                                                                                                                                 
IL	17031010201	504464	0	0.195	0.	42.0160077	-87.6801484                                                                                                                                                 
IL	17031010202	351253	0	0.136	0.	42.0160476	-87.6733256                                                                                                                                                 
IL	17031010300	472522	0	0.182	0.	42.0159431	-87.6665393                                                                                                                                                 
IL	17031010400	548761	602605	0.212	0.233	42.0064109	-87.6588157                                                                                                                                         
IL	17031010501	202133	0	0.078	0.	42.0094119	-87.6639583                                                                                                                                                 
IL	17031010502	180386	0	0.07	0.	42.0045173	-87.6633273                                                                                                                                                  
IL	17031010503	194213	0	0.075	0.	42.0003207	-87.6631262                                                                                                                                                 
IL	17031010600	495017	0	0.191	0.	42.0062774	-87.667683                                                                                                                                                  
IL	17031010701	429690	0	0.166	0.	42.0091482	-87.6786204                                                                                                                                                 
IL	17031010702	357548	0	0.138	0.	42.0090199	-87.6727257                                                                                                                                                 
IL	17031020100	411155	0	0.159	0.	42.015721	-87.6871169                                                                                                                                                  
IL	17031020200	1241961	0	0.48	0.	42.0156903	-87.6995191                                                                                                                                                 
IL	17031020301	825541	0	0.319	0.	42.0068651	-87.7051865                                                                                                                                                 
IL	17031020302	639920	0	0.247	0.	42.0085406	-87.6949634                                                                                                                                                 
IL	17031020400	555577	0	0.215	0.	42.008488	-87.6859118                                                                                                                                                  
IL	17031020500	771659	0	0.298	0.	42.0013129	-87.6841982                                                                                                                                                 
IL	17031020601	591329	0	0.228	0.	42.0008746	-87.7018025                                                                                                                                                 
IL	17031020602	492027	0	0.19	0.	42.0013156	-87.6936373                                                                                                                                                  
IL	17031020701	591396	0	0.228	0.	41.9868915	-87.7036897                                                                                                                                                 
IL	17031020702	704323	0	0.272	0.	41.9941256	-87.7048939                                                                                                                                                 
