P1_001N,GEO_ID,state,county,tract,block group
1570,1500000US170310714003,17,031,071400,3
662,1500000US170310714004,17,031,071400,4
1257,1500000US170310715001,17,031,071500,1
1307,1500000US170310715002,17,031,071500,2
1338,1500000US170310715003,17,031,071500,3
1083,1500000US170310715004,17,031,071500,4
674,1500000US170310715005,17,031,071500,5
623,1500000US170310715006,17,031,071500,6
1793,1500000US170310716001,17,031,071600,1
783,1500000US170310717001,17,031,071700,1
877,1500000US170310717002,17,031,071700,2
570,1500000US170310718002,17,031,071800,2
2082,1500000US170310718001,17,031,071800,1
1034,1500000US170310801003,17,031,080100,3
902,1500000US170310801006,17,031,080100,6
510,1500000US170310801001,17,031,080100,1
1164,1500000US170310801002,17,031,080100,2
811,1500000US170310801004,17,031,080100,4
1347,1500000US170310801005,17,031,080100,5
620,1500000US170310801007,17,031,080100,7
1354,1500000US170310802011,17,031,080201,1
1443,1500000US170310802012,17,031,080201,2
578,1500000US170310802013,17,031,080201,3
1101,1500000US170310802021,17,031,080202,1
1348,1500000US170310802022,17,031,080202,2
1776,1500000US170310802023,17,031,080202,3
902,1500000US170310803001,17,031,080300,1
1245,1500000US170310803004,17,031,080300,4
2170,1500000US170310803002,17,031,080300,2
1182,1500000US170310803003,17,031,080300,3
1189,1500000US170310804003,17,031,080400,3
2620,1500000US170310804001,17,031,080400,1
760,1500000US170310804002,17,031,080400,2
1868,1500000US170310810002,17,031,081000,2
2703,1500000US170310810005,17,031,081000,5
428,1500000US170310810001,17,031,081000,1
1140,1500000US170310810003,17,031,081000,3
1291,1500000US170310810004,17,031,081000,4
1316,1500000US170310810006,17,031,081000,6
1188,1500000US170310811002,17,031,081100,2
1576,1500000US170310811001,17,031,081100,1
1423,1500000US170310811003,17,031,081100,3
2630,1500000US170310812012,17,031,081201,2
1177,1500000US170310812011,17,031,081201,1
1273,1500000US170310812013,17,031,081201,3
923,1500000US170310812022,17,031,081202,2
820,1500000US170310812024,17,031,081202,4
627,1500000US170310812021,17,031,081202,1
987,1500000US170310812023,17,031,081202,3
